input,expected_output,metadata
"{""question"": ""Kapan Sulawesi Utara resmi menjadi provinsi?""}","{""answer"": ""23 September 1964""}","{""category"": ""Sejarah"", ""source"": ""sulawesi_utara.txt""}"

"{""question"": ""Berapa luas wilayah NTB?""}","{""answer"": ""20.124,48 km2""}","{""category"": ""Dimensi"", ""source"": ""ntb.txt""}"
"{""question"": ""Berapa populasi NTB tahun 2024?""}","{""answer"": ""5.666.314 jiwa""}","{""category"": ""Dimensi"", ""source"": ""ntb.txt""}"
"{""question"": ""Gunung tertinggi di NTB adalah apa?""}","{""answer"": ""Gunung Rinjani 3.726 mdpl""}","{""category"": ""Teknis"", ""source"": ""ntb.txt""}"
"{""question"": ""Gunung Tambora memiliki ketinggian berapa?""}","{""answer"": ""2.851 mdpl""}","{""category"": ""Dimensi"", ""source"": ""ntb.txt""}"
"{""question"": ""Kapan NTB dibentuk?""}","{""answer"": ""17 Desember 1958""}","{""category"": ""Sejarah"", ""source"": ""ntb.txt""}"

"{""question"": ""Berapa luas wilayah NTT?""}","{""answer"": ""46.447,0 km2""}","{""category"": ""Dimensi"", ""source"": ""ntt_rag_clean.txt""}"
"{""question"": ""Berapa populasi NTT tahun 2025?""}","{""answer"": ""5.742.560 jiwa""}","{""category"": ""Dimensi"", ""source"": ""ntt_rag_clean.txt""}"
"{""question"": ""Berapa jumlah pulau di NTT?""}","{""answer"": ""1.192 pulau""}","{""category"": ""Teknis"", ""source"": ""ntt_rag_clean.txt""}"
"{""question"": ""Apa tiga pulau utama di NTT?""}","{""answer"": ""Flores, Sumba, Timor""}","{""category"": ""Teknis"", ""source"": ""ntt_rag_clean.txt""}"
"{""question"": ""Kapan NTT berdiri?""}","{""answer"": ""20 Desember 1958""}","{""category"": ""Sejarah"", ""source"": ""ntt_rag_clean.txt""}"

"{""question"": ""Berapa luas wilayah Labuan Bajo?""}","{""answer"": ""11,65 km2""}","{""category"": ""Dimensi"", ""source"": ""labuan_bajo.txt""}"
"{""question"": ""Berapa populasi Labuan Bajo 2024?""}","{""answer"": ""7.226 jiwa""}","{""category"": ""Dimensi"", ""source"": ""labuan_bajo.txt""}"
"{""question"": ""Berapa jumlah hotel bintang lima di Labuan Bajo (2019)?""}","{""answer"": ""13""}","{""category"": ""Teknis"", ""source"": ""labuan_bajo.txt""}"
"{""question"": ""Berapa jumlah sampah harian di Labuan Bajo?""}","{""answer"": ""±13 ton/hari""}","{""category"": ""Teknis"", ""source"": ""labuan_bajo.txt""}"
"{""question"": ""Bandara di Labuan Bajo berjarak berapa dari pusat kota?""}","{""answer"": ""±3 km""}","{""category"": ""Teknis"", ""source"": ""labuan_bajo.txt""}"

"{""question"": ""Berapa luas kawasan Mandalika?""}","{""answer"": ""20.035 hektare""}","{""category"": ""Dimensi"", ""source"": ""mandalika.txt""}"
"{""question"": ""Kapan Mandalika menjadi KEK?""}","{""answer"": ""2017""}","{""category"": ""Sejarah"", ""source"": ""mandalika.txt""}"
"{""question"": ""Berapa panjang sirkuit Mandalika?""}","{""answer"": ""4,32 km""}","{""category"": ""Dimensi"", ""source"": ""mandalika.txt""}"
"{""question"": ""Berapa jumlah tikungan sirkuit Mandalika?""}","{""answer"": ""17""}","{""category"": ""Teknis"", ""source"": ""mandalika.txt""}"
"{""question"": ""Kapan sirkuit Mandalika diresmikan?""}","{""answer"": ""12 November 2021""}","{""category"": ""Sejarah"", ""source"": ""mandalika.txt""}"

"{""question"": ""Berapa kapasitas kawasan olahraga Mandalika?""}","{""answer"": ""195.700 orang""}","{""category"": ""Dimensi"", ""source"": ""mandalika.txt""}"
"{""question"": ""Berapa luas area konservasi Mandalika?""}","{""answer"": ""lebih dari 3.000 hektare""}","{""category"": ""Dimensi"", ""source"": ""mandalika.txt""}"
"{""question"": ""Berapa nilai investasi Qatar di Mandalika?""}","{""answer"": ""Rp7,2 triliun""}","{""category"": ""Teknis"", ""source"": ""mandalika.txt""}"
"{""question"": ""Kapan groundbreaking Mandalika dilakukan?""}","{""answer"": ""21 Oktober 2011""}","{""category"": ""Sejarah"", ""source"": ""mandalika.txt""}"
"{""question"": ""Kapan MoU Emaar Properties ditandatangani?""}","{""answer"": ""19 Maret 2008""}","{""category"": ""Sejarah"", ""source"": ""mandalika.txt""}"
